CustomerID,Gender,Payment,FavoriteProduct,Age,Income,HouseholdSize,Sales,StoreVisit
121,Female,Cash,Beer,42,65000,4,20,1
123,Male,Cash,Spirit,60,45000,2,300,10
154,Male,Debit,Beer,21,21000,1,46,18
166,Male,Cash,Spirit,72,48000,2,290,11
170,Female,Credit,Wine,36,90000,5,190,4
198,Female,Debit,Wine,34,85000,4,180,6
199,Male,Credit,Spirit,41,75000,2,15,1
205,Male,Cash,Wine,26,65000,1,20,2
222,Male,Cash,Spirit,21,21000,1,75,21
239,Female,Credit,Spirit,35,75000,4,200,5
268,Male,Debit,Spirit,68,44000,2,280,13
293,Male,Debit,Beer,23,30000,1,60,22
332,Male,Cash,Wine,65,55000,2,320,12
334,Male,Cash,Beer,22,15000,1,55,21
335,Female,Cash,Beer,24,23000,2,55,19
384,Female,Credit,Wine,27,125000,5,220,5
410,Female,Cash,Spirit,45,88000,3,15,1
420,Male,Cash,Beer,26,15000,2,20,1
537,Female,Debit,Beer,23,22000,2,50,16
584,Female,Cash,Beer,25,20000,2,60,20
