R,Age,Ed,Ex0,Ex1,LF,M,N,U1,U2,W,X
79.1,151,91,58,56,510,950,33,108,41,394,261
163.5,143,113,103,95,583,1012,13,96,36,557,194
57.8,142,89,45,44,533,969,18,94,33,318,250
196.9,136,121,149,141,577,994,157,102,39,673,167
123.4,141,121,109,101,591,985,18,91,20,578,174
68.2,121,110,118,115,547,964,25,84,29,689,126
96.3,127,111,82,79,519,982,4,97,38,620,168
155.5,131,109,115,109,542,969,50,79,35,472,206
85.6,157,90,65,62,553,955,39,81,28,421,239
70.5,140,118,71,68,632,1029,7,100,24,526,174
167.4,124,105,121,116,580,966,101,77,35,657,170
84.9,134,108,75,71,595,972,47,83,31,580,172
51.1,128,113,67,60,624,972,28,77,25,507,206
66.4,135,117,62,61,595,986,22,77,27,529,190
79.8,152,87,57,53,530,986,30,92,43,405,264
94.6,142,88,81,77,497,956,33,116,47,427,247
53.9,143,110,66,63,537,977,10,114,35,487,166
92.9,135,104,123,115,537,978,31,89,34,631,165
75,130,116,128,128,536,934,51,78,34,627,135
122.5,125,108,113,105,567,985,78,130,58,626,166
74.2,126,108,74,67,602,984,34,102,33,557,195
43.9,157,89,47,44,512,962,22,97,34,288,276
121.6,132,96,87,83,564,953,43,83,32,513,227
96.8,131,116,78,73,574,1038,7,142,42,540,176
52.3,130,116,63,57,641,984,14,70,21,486,196
199.3,131,121,160,143,631,1071,3,102,41,674,152
34.2,135,109,69,71,540,965,6,80,22,564,139
121.6,152,112,82,76,571,1018,10,103,28,537,215
104.3,119,107,166,157,521,938,168,92,36,637,154
69.6,166,89,58,54,521,973,46,72,26,396,237
37.3,140,93,55,54,535,1045,6,135,40,453,200
75.4,125,109,90,81,586,964,97,105,43,617,163
107.2,147,104,63,64,560,972,23,76,24,462,233
92.3,126,118,97,97,542,990,18,102,35,589,166
65.3,123,102,97,87,526,948,113,124,50,572,158
127.2,150,100,109,98,531,964,9,87,38,559,153
83.1,177,87,58,56,638,974,24,76,28,382,254
56.6,133,104,51,47,599,1024,7,99,27,425,225
82.6,149,88,61,54,515,953,36,86,35,395,251
115.1,145,104,82,74,560,981,96,88,31,488,228
88,148,122,72,66,601,998,9,84,20,590,144
54.2,141,109,56,54,523,968,4,107,37,489,170
82.3,162,99,75,70,522,996,40,73,27,496,224
103,136,121,95,96,574,1012,29,111,37,622,162
45.5,139,88,46,41,480,968,19,135,53,457,249
50.8,126,104,106,97,599,989,40,78,25,593,171
84.9,130,121,90,91,623,1049,3,113,40,588,160
